UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
454,2023-09-10,總計,全區,89.00,84.60,0.80,73.20,24.40,0.00,0.00,0.00
455,2023-09-10,總計,6個月-4歲,42.80,26.60,4.20,0.80,0.00,0.00,0.00,0.00
456,2023-09-10,總計,5-11歲,81.90,64.10,0.50,24.80,1.60,0.00,0.00,0.00
457,2023-09-10,總計,12-17歲,93.20,86.00,0.30,65.60,15.50,0.00,0.00,0.00
458,2023-09-10,總計,18-29歲,95.10,92.00,0.50,79.90,13.30,0.00,0.00,0.00
459,2023-09-10,總計,30-49歲,92.90,90.10,0.70,81.50,21.10,0.00,0.00,0.00
460,2023-09-10,總計,50-64歲,89.70,87.30,0.90,79.80,29.40,0.00,0.00,0.00
461,2023-09-10,總計,65-74歲,89.30,87.10,1.10,81.40,48.80,17.60,0.00,0.00
462,2023-09-10,總計,75歲以上,83.00,79.60,1.10,72.40,45.50,16.20,0.00,0.00
709,2023-09-03,總計,全區,89.00,84.70,0.80,73.20,24.40,0.00,0.00,0.00
710,2023-09-03,總計,6個月-4歲,43.10,26.70,4.20,0.80,0.00,0.00,0.00,0.00
711,2023-09-03,總計,5-11歲,82.00,64.20,0.50,24.90,1.70,0.00,0.00,0.00
712,2023-09-03,總計,12-17歲,93.30,86.10,0.30,65.80,15.50,0.00,0.00,0.00
713,2023-09-03,總計,18-29歲,95.20,92.10,0.50,79.90,13.30,0.00,0.00,0.00
714,2023-09-03,總計,30-49歲,92.90,90.10,0.70,81.50,21.10,0.00,0.00,0.00
715,2023-09-03,總計,50-64歲,89.70,87.30,0.90,79.80,29.40,0.00,0.00,0.00
716,2023-09-03,總計,65-74歲,89.20,87.00,1.10,81.40,48.80,17.60,0.00,0.00
717,2023-09-03,總計,75歲以上,82.90,79.50,1.10,72.30,45.50,16.20,0.00,0.00
964,2023-08-27,總計,全區,89.00,84.70,0.80,73.20,24.40,0.00,0.00,0.00
965,2023-08-27,總計,6個月-4歲,43.30,26.90,4.20,0.80,0.00,0.00,0.00,0.00
966,2023-08-27,總計,5-11歲,82.10,64.30,0.40,25.00,1.70,0.00,0.00,0.00
967,2023-08-27,總計,12-17歲,93.20,86.10,0.30,65.90,15.60,0.00,0.00,0.00
968,2023-08-27,總計,18-29歲,95.30,92.10,0.50,80.00,13.30,0.00,0.00,0.00
969,2023-08-27,總計,30-49歲,92.90,90.10,0.70,81.50,21.10,0.00,0.00,0.00
970,2023-08-27,總計,50-64歲,89.70,87.30,0.90,79.80,29.40,0.00,0.00,0.00
971,2023-08-27,總計,65-74歲,89.10,86.90,1.10,81.30,48.80,17.60,0.00,0.00
972,2023-08-27,總計,75歲以上,82.80,79.40,1.10,72.20,45.40,16.10,0.00,0.00
1219,2023-08-20,總計,全區,89.10,84.70,0.90,73.30,24.40,0.00,0.00,0.00
1220,2023-08-20,總計,6個月-4歲,43.40,26.90,4.20,0.80,0.00,0.00,0.00,0.00
1221,2023-08-20,總計,5-11歲,82.40,64.60,0.40,25.10,1.70,0.00,0.00,0.00
