UID,個案研判日,縣市別,區域,新增確診人數,total,七天移動平均新增確診人數
29546,2022-12-31,全國,全區,25382,8872579,24757.14
29912,2022-12-30,全國,全區,25751,8847197,23662.86
30284,2022-12-29,全國,全區,27378,8821446,22563.71
30657,2022-12-28,全國,全區,27921,8794068,21376.14
31027,2022-12-27,全國,全區,28150,8766147,20226.86
31404,2022-12-26,全國,全區,24486,8737997,18939.86
31776,2022-12-25,全國,全區,14232,8713511,17887.57
32130,2022-12-24,全國,全區,17722,8699279,17334.86
32490,2022-12-23,全國,全區,18057,8681557,16962.86
32854,2022-12-22,全國,全區,19065,8663500,16614.00
33221,2022-12-21,全國,全區,19876,8644435,16088.86
33591,2022-12-20,全國,全區,19141,8624559,15545.14
33954,2022-12-19,全國,全區,17120,8605418,15333.00
34325,2022-12-18,全國,全區,10363,8588298,15338.00
34673,2022-12-17,全國,全區,15118,8577935,15408.00
35033,2022-12-16,全國,全區,15615,8562817,15259.00
35398,2022-12-15,全國,全區,15389,8547202,15066.43
35769,2022-12-14,全國,全區,16070,8531813,14918.14
36128,2022-12-13,全國,全區,17656,8515743,14805.00
36502,2022-12-12,全國,全區,17155,8498087,14672.86
36874,2022-12-11,全國,全區,10853,8480932,14511.00
37225,2022-12-10,全國,全區,14075,8470079,14423.00
37594,2022-12-09,全國,全區,14267,8456004,14270.71
37959,2022-12-08,全國,全區,14351,8441737,14109.00
38332,2022-12-07,全國,全區,15278,8427386,14068.71
38704,2022-12-06,全國,全區,16731,8412108,14120.14
39075,2022-12-05,全國,全區,16022,8395377,14261.14
39453,2022-12-04,全國,全區,10237,8379355,14440.14
39819,2022-12-03,全國,全區,13009,8369118,14499.71
40188,2022-12-02,全國,全區,13135,8356109,14541.43
40558,2022-12-01,全國,全區,14069,8342974,14560.00
40927,2022-11-30,全國,全區,15638,8328905,14575.14
41298,2022-11-29,全國,全區,17718,8313267,14632.71
41678,2022-11-28,全國,全區,17275,8295549,14655.29
42056,2022-11-27,全國,全區,10654,8278274,14781.43
42417,2022-11-26,全國,全區,13301,8267620,14959.57
42773,2022-11-25,全國,全區,13265,8254319,15377.29
43144,2022-11-24,全國,全區,14175,8241054,15848.14
43514,2022-11-23,全國,全區,16041,8226879,16393.71
43886,2022-11-22,全國,全區,17876,8210838,16975.57
44259,2022-11-21,全國,全區,18158,8192962,17660.71
44642,2022-11-20,全國,全區,11901,8174804,17714.86
45005,2022-11-19,全國,全區,16225,8162903,18387.57
45379,2022-11-18,全國,全區,16561,8146678,18726.57
45751,2022-11-17,全國,全區,17994,8130117,19105.00
46124,2022-11-16,全國,全區,20114,8112123,19432.71
46504,2022-11-15,全國,全區,22672,8092009,19747.57
46885,2022-11-14,全國,全區,18537,8069337,20057.86
47266,2022-11-13,全國,全區,16610,8050800,20974.43
47636,2022-11-12,全國,全區,18598,8034190,20965.57
48013,2022-11-11,全國,全區,19210,8015592,21786.00
48392,2022-11-10,全國,全區,20288,7996382,22691.43
48775,2022-11-09,全國,全區,22318,7976094,23733.29
49158,2022-11-08,全國,全區,24844,7953776,24825.86
49543,2022-11-07,全國,全區,24953,7928932,26013.00
49928,2022-11-06,全國,全區,16548,7903979,27341.57
50297,2022-11-05,全國,全區,24341,7887431,28208.57
50672,2022-11-04,全國,全區,25548,7863090,29235.57
51058,2022-11-03,全國,全區,27581,7837542,30226.86
51438,2022-11-02,全國,全區,29966,7809961,31225.14
51824,2022-11-01,全國,全區,33154,7779995,32037.14
52209,2022-10-31,全國,全區,34253,7746841,33055.14
52592,2022-10-30,全國,全區,22617,7712588,33754.14
52971,2022-10-29,全國,全區,31530,7689971,34283.43
53350,2022-10-28,全國,全區,32487,7658441,34827.71
53737,2022-10-27,全國,全區,34569,7625954,35274.00
54124,2022-10-26,全國,全區,35650,7591385,35654.14
54508,2022-10-25,全國,全區,40280,7555735,36243.86
54897,2022-10-24,全國,全區,39146,7515455,36859.57
55287,2022-10-23,全國,全區,26322,7476309,37675.29
55664,2022-10-22,全國,全區,35340,7449987,38032.86
56049,2022-10-21,全國,全區,35611,7414647,38915.29
56439,2022-10-20,全國,全區,37230,7379036,40037.86
56824,2022-10-19,全國,全區,39778,7341806,41606.86
57211,2022-10-18,全國,全區,44590,7302028,43547.71
57601,2022-10-17,全國,全區,44856,7257438,44658.29
57991,2022-10-16,全國,全區,28825,7212582,44166.86
58375,2022-10-15,全國,全區,41517,7183757,44633.29
58760,2022-10-14,全國,全區,43469,7142240,45063.71
59150,2022-10-13,全國,全區,48213,7098771,45210.71
59541,2022-10-12,全國,全區,53364,7050558,45548.14
59930,2022-10-11,全國,全區,52364,6997194,44558.29
60322,2022-10-10,全國,全區,41416,6944830,44914.29
60706,2022-10-09,全國,全區,32090,6903414,46070.71
61093,2022-10-08,全國,全區,44530,6871324,46258.29
61482,2022-10-07,全國,全區,44498,6826794,46078.14
61869,2022-10-06,全國,全區,50575,6782296,45873.00
62260,2022-10-05,全國,全區,46435,6731721,44856.57
62647,2022-10-04,全國,全區,54856,6685286,44626.86
63035,2022-10-03,全國,全區,49511,6630430,43728.57
63426,2022-10-02,全國,全區,33403,6580919,43196.57
63808,2022-10-01,全國,全區,43269,6547516,42530.00
64194,2022-09-30,全國,全區,43062,6504247,41912.43
64578,2022-09-29,全國,全區,43460,6461185,41235.43
64966,2022-09-28,全國,全區,44827,6417725,40739.14
65354,2022-09-27,全國,全區,48568,6372898,40395.57
65741,2022-09-26,全國,全區,45787,6324330,40149.57
66130,2022-09-25,全國,全區,28737,6278543,39994.86
66513,2022-09-24,全國,全區,38946,6249806,39949.43
66896,2022-09-23,全國,全區,38323,6210860,40031.00
67285,2022-09-22,全國,全區,39986,6172537,40210.43
67672,2022-09-21,全國,全區,42422,6132551,40443.86
68061,2022-09-20,全國,全區,46846,6090129,40871.29
68451,2022-09-19,全國,全區,44704,6043283,41273.00
68842,2022-09-18,全國,全區,28419,5998579,41600.86
69224,2022-09-17,全國,全區,39517,5970160,41192.57
69612,2022-09-16,全國,全區,39579,5930643,40132.57
69997,2022-09-15,全國,全區,41620,5891064,39591.57
70384,2022-09-14,全國,全區,45414,5849444,38536.00
70769,2022-09-13,全國,全區,49658,5804030,37061.57
71158,2022-09-12,全國,全區,46999,5754372,35859.29
71548,2022-09-11,全國,全區,25561,5707373,34383.14
71930,2022-09-10,全國,全區,32097,5681812,34170.71
72312,2022-09-09,全國,全區,35792,5649715,34489.71
72694,2022-09-08,全國,全區,34231,5613923,34059.57
73081,2022-09-07,全國,全區,35093,5579692,33995.00
73465,2022-09-06,全國,全區,41242,5544599,33848.57
73851,2022-09-05,全國,全區,36666,5503357,32895.57
