UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
4674,2022-12-31,全國,全區,44,14056,32.29
4731,2022-12-30,全國,全區,42,14012,29.14
4780,2022-12-29,全國,全區,27,13970,26.29
4820,2022-12-28,全國,全區,19,13943,26.29
4848,2022-12-27,全國,全區,38,13924,26.29
4899,2022-12-26,全國,全區,37,13886,25.57
4949,2022-12-25,全國,全區,19,13849,24.43
4979,2022-12-24,全國,全區,22,13830,25.71
5012,2022-12-23,全國,全區,22,13808,26
5043,2022-12-22,全國,全區,27,13786,26.71
5086,2022-12-21,全國,全區,19,13759,26.71
5116,2022-12-20,全國,全區,33,13740,28.14
5161,2022-12-19,全國,全區,29,13707,27.43
5201,2022-12-18,全國,全區,28,13678,25.29
5238,2022-12-17,全國,全區,24,13650,23.71
5273,2022-12-16,全國,全區,27,13626,23.57
5310,2022-12-15,全國,全區,27,13599,24.29
5350,2022-12-14,全國,全區,29,13572,25.71
5394,2022-12-13,全國,全區,28,13543,25
5434,2022-12-12,全國,全區,14,13515,24.29
5459,2022-12-11,全國,全區,17,13501,25.14
5487,2022-12-10,全國,全區,23,13484,26.57
5523,2022-12-09,全國,全區,32,13461,26.71
5569,2022-12-08,全國,全區,37,13429,26.43
5622,2022-12-07,全國,全區,24,13392,25.43
5658,2022-12-06,全國,全區,23,13368,24.71
5689,2022-12-05,全國,全區,20,13345,24.86
5719,2022-12-04,全國,全區,27,13325,25.86
